date,sentiment_score,sentiment_score_final
2020-01-01,0.09993845583907696,0.15496075175047888
2020-01-02,0.11133339197748066,0.16143341836734695
2020-01-03,0.07391653594179727,0.12856997463815645
2020-01-04,0.08377192674745723,0.1450832644394368
2020-01-05,0.08685326256939557,0.13256550602697217
2020-01-06,0.0719273903098727,0.11876383051165028
2020-01-07,0.052378651482008376,0.10438843922118571
2020-01-08,0.07019226337721236,0.12357200858024212
2020-01-09,0.08166937538298841,0.13627118635332922
2020-01-10,0.09570511777527084,0.14809107697857699
2020-01-11,0.11972328579682674,0.18952334817258287
2020-01-12,0.08154370775423407,0.142370905970906
2020-01-13,0.07167458942402888,0.12786746753246753
2020-01-14,0.08051870218822274,0.13358784681227864
2020-01-15,0.06705649240215567,0.11596828686019862
2020-01-16,0.055554256648006645,0.09906060221572269
2020-01-17,0.07859318621073802,0.13665301746551747
2020-01-18,0.04201234271303475,0.07987873055307265
2020-01-19,0.06836421411826701,0.10945745757733462
2020-01-20,0.06071066881613757,0.10693989369448086
2020-01-21,0.03814334367999126,0.06115720467127091
2020-01-22,0.08780109565396024,0.1600425034705098
2020-01-23,0.07052250911625912,0.11996932585294655
2020-01-24,0.08325343649118637,0.16048195323630005
2020-01-25,0.07003845455079759,0.13194341115376063
2020-01-26,0.07095508926424106,0.1281769354450806
2020-01-27,0.11379142955190771,0.19954728950407005
2020-01-28,0.10061344429923198,0.16884555020330883
2020-01-29,0.05877997479655644,0.09547686513915797
2020-01-30,0.08667245947695774,0.15853380246101764
2020-01-31,0.07560745441427259,0.12905410322436184
2020-02-01,0.07810451920365713,0.14426949407044948
2020-02-02,0.0963872803131948,0.1481698085665601
2020-02-03,0.08484093249235378,0.14418054423556076
2020-02-04,0.0883858818470699,0.1556014925930452
2020-02-05,0.08517106092618038,0.14593637924778274
2020-02-06,0.07118350447796387,0.12372371016408006
2020-02-07,0.07110127246490883,0.13378265740107845
2020-02-08,0.06493083715542272,0.10996956813028241
2020-02-09,0.0981135172017525,0.15665638934423465
2020-02-10,0.0800453736324747,0.1327811492021051
2020-02-11,0.1253883802799619,0.2118631253006253
2020-02-12,0.08394122558426682,0.15362828078629967
2020-02-13,0.053852897777376944,0.11158010474737094
2020-02-14,0.08060480678989676,0.1328613128867366
2020-02-15,0.08316419536196934,0.14369198251890558
2020-02-16,0.07515239580680758,0.1186832917386196
2020-02-17,0.0735047302470772,0.11655169934205058
2020-02-18,0.06128734859147421,0.09453899516769958
2020-02-19,0.06861176134149441,0.13045262518218345
2020-02-20,0.06867783924360579,0.12882705792754812
2020-02-21,0.08938923272907648,0.1589141915183582
2020-02-22,0.08427450969287703,0.1432179528884731
2020-02-23,0.13118949261153096,0.20352099664599665
2020-02-24,0.08372653556898349,0.1461408620840439
2020-02-25,0.09270169589732946,0.14955190719348177
2020-02-26,0.05875720363220364,0.10414450464151064
2020-02-27,0.0780649099958422,0.1421552373381077
2020-02-28,0.0557725589431497,0.09930236104512019
2020-02-29,0.0731332646440405,0.13338771538850155
2020-03-01,0.08068299511964479,0.13871813196009103
