Date,Open,High,Low,Close,Adj Close,Volume,daily_return,log_return,SMA_short,SMA_long,EMA_short,EMA_long,volatility,ATR,RSI,MACD,bollinger_h,bollinger_l,momentum,ROC,Day_of_week,Month,Quarter,lagged_return,lagged_close,volume_change,volume_sma,price_to_sma,high_low_range
2010-08-05,1.436,1.436667,1.336667,1.363333,1.363333,11943000,-0.03809972674029327,-0.03884449974032783,1.3891999,,1.385382642983211,,0.041522085483351984,0.07042857142857138,47.427092811433035,-0.0076968553799510175,1.5204273535580604,1.1780392464419398,0.03399999999999981,2.5576736603996064,3,8,3,-0.0314350868872636,1.417333,-0.12792990142387728,25031250.0,0.9813800015390154,0.09999999999999987
2010-08-06,1.34,1.344,1.301333,1.306,1.306,11128500,-0.042053555514316665,-0.042963406033553884,1.3778666000000002,,1.3709494351680815,,0.04299020805806691,0.06714292857142853,43.0079630030802,-0.013245332840533752,1.5058859673803986,1.2071806326196013,-0.08866700000000005,-6.357574962338686,4,8,3,-0.03809972674029327,1.363333,-0.06819894498869628,22549725.0,0.9478421205652273,0.04266700000000001
2010-08-09,1.326667,1.332,1.296667,1.306667,1.306667,12190500,0.0005107197549769626,0.0005105893820303716,1.3688666,,1.3592617196829757,,0.04255545789424731,0.061095285714285685,43.07441737979161,-0.0173882786248587,1.478374867192447,1.2516917328075527,-0.15666599999999997,-10.706107222347882,0,8,3,-0.042053555514316665,1.306,0.09543065103113624,21507375.0,0.9545612406643569,0.03533300000000006
2010-08-10,1.31,1.31,1.254667,1.268667,1.268667,19219500,-0.029081625234279262,-0.029512877287418894,1.3587333000000001,,1.342789952467889,,0.04116318670950667,0.05838099999999998,40.19859085699937,-0.023467358329103405,1.4670953161819464,1.2689046838180533,-0.14866599999999996,-10.489136991800796,1,8,3,0.0005107197549769626,1.306667,0.5765965300849021,20458275.0,0.9337130399321191,0.05533300000000008
2010-08-11,1.246,1.258667,1.19,1.193333,1.193333,11964000,-0.059380436316228025,-0.0612165105339996,1.3399333,,1.315615961110091,,0.037516936172651616,0.05909528571428572,35.18354424748807,-0.03397228563779553,1.4854013945749955,1.2376652054250046,-0.16999999999999993,-12.46944070157474,2,8,3,-0.029081625234279262,1.268667,-0.37750721923046904,17910075.0,0.8905913451065064,0.06866700000000003
2010-08-12,1.186667,1.193333,1.159333,1.173333,1.173333,10365000,-0.01675978121781596,-0.016901815563904687,1.3215999,,1.2897463318173472,,0.037575753420189734,0.05914292857142857,33.971812426019994,-0.04341093483249381,1.5020268558172418,1.205773044182758,-0.1326670000000001,-10.158269525268004,3,8,3,-0.059380436316228025,1.193333,-0.13365095285857576,15623475.0,0.887812567177101,0.03400000000000003
2010-08-13,1.212,1.23,1.177333,1.221333,1.221333,9510000,0.04090910253099511,0.04009446836702619,1.3107999,,1.277307544214193,,0.037775475780403175,0.057190571428571424,39.36888669709115,-0.04648211656814083,1.504657855981395,1.1876753440186052,-0.08533400000000002,-6.53066159932102,4,8,3,-0.01675978121781596,1.173333,-0.08248914616497827,14133000.0,0.9317463329071051,0.05266700000000002
2010-08-16,1.23,1.253333,1.217333,1.252,1.252,7287000,0.025109450084456864,0.02479938745993404,1.2965332,,1.272706172538885,,0.035174189647097266,0.05538107142857144,42.59720815435628,-0.04591223198418182,1.4901206213901177,1.1813458786098825,-0.016666999999999987,-1.31374111567496,0,8,3,0.04090910253099511,1.221333,-0.23375394321766563,12632475.0,0.9656520943698164,0.03600000000000003
2010-08-17,1.264,1.293333,1.252,1.276667,1.276667,6718500,0.019702076677316382,0.01951050294310989,1.2778666,,1.2734263229863605,,0.031939288886080566,0.05647628571428572,45.12802961982556,-0.04297478700262802,1.488144942966143,1.1756549570338568,0.08333400000000002,6.983298040027397,1,8,3,0.025109450084456864,1.252,-0.07801564429806507,11599425.0,0.9990612478642136,0.041333000000000064
2010-08-18,1.306,1.306,1.24,1.251333,1.251333,9019500,-0.019843859048600754,-0.020043392507369973,1.2612666,,1.2694093551706584,,0.032176032630680675,0.057000071428571455,43.02972203529918,-0.042204574700810626,1.4869584919225116,1.1671747080774884,0.07800000000000007,6.647729161286708,2,8,3,0.019702076677316382,1.276667,0.34248716231301635,11111025.0,0.9921241076232417,0.06600000000000006
2010-08-19,1.236,1.283333,1.222,1.252667,1.252667,8686500,0.001066063150256591,0.0010654953084707267,1.2502,,1.2663652905941751,,0.030669374462675168,0.057142857142857176,43.17954013001778,-0.04101375224553139,1.479047215124288,1.160352684875712,0.03133399999999997,2.565557468765678,3,8,3,-0.019843859048600754,1.251333,-0.03692000665225348,10827000.0,1.0019732842745162,0.06133300000000008
2010-08-20,1.243333,1.274,1.234,1.273333,1.273333,4440000,0.016497600719105776,0.016362993748117904,1.2469332999999998,,1.2676321468497795,,0.03076235155063251,0.05695235714285718,45.56767102374824,-0.03796480870084773,1.4660977729598266,1.1587021270401736,0.021333000000000046,1.7039137380191693,4,8,3,0.001066063150256591,1.252667,-0.4888620272837161,10558800.0,1.0211717018063438,0.040000000000000036
2010-08-23,1.272667,1.359333,1.266667,1.342,1.342,16321500,0.05392697746779507,0.052523166379254825,1.2504666,,1.281153574695274,,0.033310986732995734,0.058190428571428594,52.683739646809386,-0.029665678474091628,1.4591596815207186,1.1601735184792816,0.06533300000000009,5.117466026771278,0,8,3,0.016497600719105776,1.273333,2.6760135135135137,10683225.0,1.0731993961294128,0.09266599999999992
2010-08-24,1.283333,1.314,1.263333,1.28,1.28,10096500,-0.046199701937406856,-0.04730096061796425,1.2515999,,1.2809438338415877,,0.034592598682227305,0.05547614285714288,46.74193708956262,-0.02777130945342421,1.4525273105797207,1.1578058894202796,0.028666999999999998,2.290916966147294,1,8,3,0.05392697746779507,1.342,-0.38139876849554266,10723275.0,1.0226910372875548,0.05066700000000002
2010-08-25,1.277333,1.332,1.237333,1.326667,1.326667,7549500,0.036458593749999935,0.035809703952960625,1.2649333,,1.2892571367794807,,0.03562715220946429,0.055095214285714324,51.2029931613785,-0.022247911395027353,1.446021198686624,1.1588454013133762,0.07400000000000007,5.907395979937213,2,8,3,-0.046199701937406856,1.28,-0.25226563660674495,10750350.0,1.0488039171709687,0.09466700000000006
2010-08-26,1.326,1.351333,1.306667,1.316667,1.316667,6507000,-0.007537686548319988,-0.007566238475040788,1.2792667,,1.2942407482741207,,0.03545079270503237,0.05523800000000002,50.23201883052359,-0.018464646119702,1.4420445476085153,1.158822052391485,0.043333999999999984,3.4031946081661157,3,8,3,0.036458593749999935,1.326667,-0.13808861514007553,10613700.0,1.0292357332524953,0.04466599999999987
2010-08-27,1.316667,1.324667,1.3,1.313333,1.313333,5694000,-0.002532151257683135,-0.0025353625748516856,1.2884667,,1.297712066769735,,0.03516505411735666,0.054476142857142876,49.8923181929608,-0.015556086190376517,1.4407624159514585,1.1585041840485415,-0.028666999999999998,-2.136140089418781,4,8,3,-0.007537686548319988,1.316667,-0.12494236975564776,10578225.0,1.0192991405986667,0.024666999999999994
